   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
                   0,                   0,                   0,                   0,             0.20487,            0.011701,            0.012476,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,           0.0011115,             0.81656,             0.63074,              12.898,             0.80485,             0.34809,             0.56244,          0.00055016,             0.45199,             0.75092,             0.46339,             0.36286,             0.65181,                   3
            0.023125,             0.66667,            0.063706,            0.012626,             0.19814,            0.012039,            0.021826,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.034493,             0.83101,             0.11777,              3.8223,             0.76641,             0.58478,             0.33415,          0.00012954,             0.39562,             0.32938,              0.5581,             0.63374,             0.45955,                   3
             0.58064,             0.66667,             0.66333,             0.50453,             0.16987,           0.0082036,          0.00089321,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.088632,            0.021963,             0.12507,              31.967,             0.75611,             0.10129,              9.9355,          0.00098745,             0.78947,             0.23563,             0.88947,             0.76171,             0.37379,                   3
            0.035157,             0.53333,               0.142,            0.046437,             0.18812,            0.010736,            0.011744,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.054471,             0.22343,             0.75396,              41.333,             0.20989,             0.40247,              1.7817,          0.00078652,             0.53458,             0.70932,             0.80705,             0.99341,             0.49406,                   3
             0.02384,             0.53333,             0.10451,            0.055055,             0.17725,            0.012098,           0.0050617,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.019026,              0.8336,             0.37003,              5.0102,             0.45777,              0.5404,              9.1155,          0.00091954,              0.3699,             0.95494,             0.54081,             0.95315,             0.56111,                   3
             0.42247,             0.33333,             0.26049,            0.035205,             0.18659,            0.010102,            0.014186,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.086393,             0.10951,             0.82245,             0.39067,             0.62133,             0.53652,              7.5794,          0.00059305,             0.96691,             0.63419,            0.054848,             0.77502,             0.40639,                   3
             0.02817,             0.66667,             0.21205,             0.11919,             0.18643,           0.0090058,           0.0041702,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.073168,             0.17124,             0.27591,              32.667,             0.70314,             0.45229,              1.2152,          0.00036117,              0.9327,             0.69082,             0.53261,             0.98632,              0.5797,                   3
           0.0072837,                 0.4,            0.016875,           0.0016875,              0.2135,           0.0093987,           0.0031171,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.077443,             0.38465,             0.25764,              36.802,             0.79766,             0.13048,              2.8583,          0.00027588,             0.71041,             0.62051,              0.5818,              0.6284,             0.59842,                   3
            0.027836,                 0.6,            0.080332,            0.054352,             0.18505,            0.010118,            0.019075,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.036065,             0.79888,               0.376,              3.6505,               0.825,              0.8085,              2.9393,          0.00022952,              0.2909,             0.64073,             0.99485,             0.54939,             0.77317,                   3
             0.55065,             0.12744,             0.50735,             0.28741,             0.18547,           0.0082316,           0.0037728,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.025902,             0.76169,              0.5421,              40.461,             0.15996,             0.62649,              4.1526,          0.00030057,             0.88877,             0.41142,             0.88469,            0.015753,             0.70286,                   3
            0.058458,             0.26667,             0.25207,             0.13445,             0.16943,           0.0099569,           0.0088749,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.091804,             0.78795,             0.61013,              39.253,           0.0088547,              0.8825,               8.379,          0.00084177,              0.6162,             0.86035,             0.64334,             0.16272,             0.13716,                   3
            0.011905,                 0.2,            0.020985,           0.0023796,             0.21648,           0.0058223,           0.0082386,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.095133,            0.043974,             0.33155,              16.194,            0.053086,             0.24259,             0.86873,          0.00030211,             0.80421,             0.31533,             0.35423,             0.32345,             0.58199,                   3
             0.45673,            0.066667,             0.15977,            0.038233,             0.20502,           0.0076478,            0.004038,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.055481,             0.66246,             0.44238,              36.693,             0.75013,            0.084202,              2.7444,          0.00051884,            0.099031,             0.35953,             0.75837,             0.31894,              0.2438,                   3
            0.014394,             0.53333,             0.15947,            0.091259,             0.18057,             0.01034,           0.0068459,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,           0.0093959,             0.57951,             0.82972,              19.083,             0.64443,             0.75883,              4.0133,          0.00055107,             0.32528,              0.3428,             0.56677,             0.10663,             0.48323,                   3
            0.022727,             0.66667,             0.32577,            0.048171,             0.19902,            0.011162,           0.0051052,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.029884,             0.22632,             0.32669,              5.7523,              0.7585,             0.13727,             0.91939,          0.00062253,             0.66114,             0.98508,             0.87995,             0.69696,             0.89793,                   3
             0.28733,             0.26667,             0.32349,             0.21673,             0.17121,             0.01053,           0.0064144,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.025902,             0.76169,              0.5421,              40.461,             0.15996,             0.62649,              4.1815,          0.00030057,             0.92647,             0.41142,                   1,            0.078482,                   0,                   3
             0.59978,             0.64694,             0.66333,             0.45027,             0.18733,            0.005804,           0.0035568,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,                 0.1,            0.021963,             0.12507,              31.898,             0.75611,             0.10129,              9.9355,          0.00098745,            0.075144,             0.86946,              0.5072,             0.71923,              0.8332,                   3
             0.16293,                 0.4,              0.2383,             0.22675,             0.16665,            0.010631,           0.0077385,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.079996,             0.76295,             0.61013,              39.253,                   0,              0.8825,               8.403,               0.001,            0.075144,             0.79388,             0.38132,             0.70888,             0.79647,                   3
             0.57291,             0.55816,             0.64429,              0.5576,             0.16455,            0.009165,           0.0059795,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.093815,             0.28158,             0.78146,              40.212,             0.87038,             0.67095,              6.0655,               0.001,             0.37984,             0.54955,             0.38783,             0.92114,             0.18218,                   3
            0.014652,             0.26667,            0.047604,            0.010658,             0.20253,           0.0069207,           0.0028742,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.088632,            0.021963,             0.12462,              31.967,              0.6579,             0.19227,                   0,                   0,            0.047793,                 0.5,                   1,                   0,            0.055249,                   3
             0.01516,             0.66667,             0.49365,             0.25662,             0.17897,            0.007902,           0.0050159,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.088818,            0.023473,              0.6405,              33.026,             0.79228,             0.27382,              8.2932,          0.00093712,             0.37454,             0.59635,             0.93739,                   0,                   0,                   3
